Year,Player,Team,Matches,Balls,Overs,Runs Given,Wickets,Economy Rate,Average,Strike Rate,Dots,4s,6s,Boundaries Conceded,Wides,No Balls,Extras Given
2024,A Nortje,Delhi Capitals,6,132,22.0,294,7,13.36,42.0,18.86,36,25,22,47,7,7,14
2024,AD Russell,Kolkata Knight Riders,14,176,29.2,295,19,10.06,15.53,9.26,60,20,20,40,12,0,12
2024,AK Markram,Sunrisers Hyderabad,2,12,2.0,15,0,7.5,,,4,0,1,1,0,1,1
2024,AR Patel,Delhi Capitals,14,264,44.0,337,11,7.66,30.64,24.0,77,20,15,35,1,0,1
2024,AS Joseph,Royal Challengers Bengaluru,3,58,9.4,115,1,11.9,115.0,58.0,16,7,8,15,7,0,7
2024,AS Roy,Kolkata Knight Riders,3,34,5.4,60,0,10.59,,,13,9,2,11,0,0,0
2024,Abhishek Sharma,Sunrisers Hyderabad,4,42,7.0,51,2,7.29,25.5,21.0,12,6,0,6,0,0,0
2024,Akash Deep,Royal Challengers Bengaluru,1,21,3.3,55,1,15.71,55.0,21.0,6,2,6,8,2,0,2
2024,Akash Madhwal,Mumbai Indians,5,109,18.1,205,5,11.28,41.0,21.8,33,23,9,32,8,14,22
2024,Arjun Tendulkar,Mumbai Indians,1,14,2.2,22,0,9.43,,,7,1,2,3,1,0,1
2024,Arshad Khan,Lucknow Super Giants,3,49,8.1,90,1,11.02,90.0,49.0,19,10,4,14,8,0,8
2024,Arshad Khan (2),Lucknow Super Giants,1,12,2.0,24,0,12.0,,,4,5,0,5,2,0,2
2024,Arshdeep Singh,Punjab Kings,14,302,50.2,505,19,10.03,26.58,15.89,108,55,21,76,24,0,24
2024,Atharva Taide,Punjab Kings,1,1,0.1,4,0,24.0,,,0,1,0,1,0,0,0
2024,Avesh Khan,Rajasthan Royals,15,329,54.5,526,19,9.59,27.68,17.32,97,47,23,70,17,7,24
2024,Azmatullah Omarzai,Gujarat Titans,7,126,21.0,186,4,8.86,46.5,31.5,52,26,6,32,5,0,5
2024,B Kumar,Sunrisers Hyderabad,16,342,57.0,533,11,9.35,48.45,31.09,126,62,21,83,14,5,19
2024,C Green,Royal Challengers Bengaluru,13,211,35.1,303,10,8.62,30.3,21.1,70,28,11,39,12,0,12
2024,CV Varun,Kolkata Knight Riders,14,300,50.0,402,21,8.04,19.14,14.29,121,23,26,49,7,2,10
2024,DG Nalkande,Gujarat Titans,3,29,4.5,45,3,9.31,15.0,9.67,6,1,3,4,2,0,2
2024,DJ Hooda,Lucknow Super Giants,2,18,3.0,22,0,7.33,,,4,2,0,2,1,0,1
2024,DJ Mitchell,Chennai Super Kings,2,36,6.0,70,1,11.67,70.0,36.0,4,6,3,9,2,0,2
2024,DL Chahar,Chennai Super Kings,8,141,23.3,202,5,8.6,40.4,28.2,60,22,9,31,5,0,5
2024,G Coetzee,Mumbai Indians,10,201,33.3,341,13,10.18,26.23,15.46,71,33,17,50,22,1,23
2024,GJ Maxwell,Royal Challengers Bengaluru,6,96,16.0,129,6,8.06,21.5,16.0,34,6,8,14,6,0,6
2024,Gulbadin Naib,Delhi Capitals,1,6,1.0,12,0,12.0,,,1,2,0,2,0,0,0
2024,H Sharma,Royal Challengers Bengaluru,1,12,2.0,29,0,14.5,,,0,3,1,4,0,0,0
2024,HH Pandya,Mumbai Indians,12,216,36.0,387,11,10.75,35.18,19.64,63,32,21,53,10,0,10
2024,HV Patel,Punjab Kings,14,294,49.0,477,24,9.73,19.88,12.25,80,41,18,59,25,8,33
2024,Harpreet Brar,Punjab Kings,13,228,38.0,303,7,7.97,43.29,32.57,69,18,13,31,6,0,6
2024,Harshit Rana,Kolkata Knight Riders,11,253,42.1,383,19,9.08,20.16,13.32,93,30,22,52,11,0,11
2024,I Sharma,Delhi Capitals,9,162,27.0,265,10,9.81,26.5,16.2,62,29,9,38,23,2,25
2024,J Little,Gujarat Titans,1,24,4.0,45,4,11.25,11.25,6.0,9,6,2,8,1,0,1
